#project,sha,module,test,polluter,time_of_phase_0,time_of_phase_1,time_of_phase_2,time_of_phase_3,time_of_phase_4(before),time_of_phase_4(after),time_of_phase_5,time_of_phase_diffFieldAfter,polluted_field,num_of_all_fields,num_of_roots,num_of_diffFields
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestViewfsWithNfs3.testNfsWriteNN1,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,52.442,27.515,0,49.214,50.728,0,29.492,0.408,FAIL,6591,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestViewfsWithNfs3.testNfsWriteNN2,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,35.661,16.41,0,30.63,44.307,0,25.303,0.016,FAIL,6591,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestViewfsWithNfs3.testWrongNfsAccess,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,39.595,21.188,0,56.817,44.086,47.917,0.003,0.072,FAIL,6594,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestWrites.testOOOWrites,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,55.325,29.95,1046.837,0,69.958,0,17.449,0.03,FAIL,1569,1569,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestWrites.testOverlappingWrites,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,46.015,29.703,96.188,0,76.45,0,23.077,0.054,FAIL,1569,1569,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestWrites.testWriteStableHow,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,27.802,22.994,1333.156,0,1503.093,0,20.139,0.009,FAIL,1569,1569,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-httpfs,org.apache.hadoop.lib.service.hadoop.TestFileSystemAccessService.createFileSystem,org.apache.hadoop.lib.service.hadoop.TestFileSystemAccessService.noKerberosKeytabProperty,77.939,14.15,28.234,0,2998.378,0,969.547,24.4,FAIL,8075,8063,2
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-httpfs,org.apache.hadoop.lib.servlet.TestServerWebApp.getHomeDir,org.apache.hadoop.fs.http.server.TestHttpFSServer.testGlobFilter,5.978,0.334,0,1.05,53.035,0,0.87,0.001,FAIL,2207,2207,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,org.apache.hadoop.mapred.TestTaskProgressReporter.testTaskProgress,org.apache.hadoop.mapred.TestTaskProgressReporter.testScratchDirSize,357.369,4.822,0,11.953,911.303,0,4.244,840.919,org.apache.hadoop.mapred.TestTaskProgressReporter.statusUpdateTimes,1247,1247,25
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,org.apache.hadoop.mapreduce.v2.app.TestMRAppMaster.testMRAppMasterShutDownJob,org.apache.hadoop.mapreduce.v2.app.TestMRAppMaster.testMRAppMasterMissingStaging,316.98,10.889,0,795.273,1018.331,0,120.461,39881.956,org.apache.hadoop.util.ExitUtil.firstExitException,11216,11205,298
